,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
7647,NJ,Cranbury Township Police Department,"P.O. Box 352  Cranbury, NJ 8512",609-395-0031,19.0,"3,227",Local Police
7648,NJ,Cranford Police Department,"8 Springfield Avenue  Cranford, NJ 7016",908-272-2222,52.0,"22,578",Local Police
7649,NJ,Cresskill Police Department,"67 Union Avenue  Cresskill, NJ 7626",201-568-1400,19.0,"7,746",Local Police
7651,NJ,Cumberland County Sheriff's Office,"220 N Laurel StPO Box 677 Bridgeton, NJ 8302",856-451-4449,55.0,"146,438",Sheriff
7652,NJ,Deal Police Department,"Durant Square  Deal, NJ 7723",732-531-1113,16.0,"1,070",Local Police
7653,NJ,Delanco Township Police Department,"770 Coopertown Road  Delanco, NJ 8075",856-461-0357,9.0,"3,237",Local Police
7655,NJ,Delaware Township Police Department,"P.O. Box 101  Sergeantsville, NJ 8557",609-397-0911,7.0,"4,478",Local Police
7656,NJ,Delran Township Police Department,"900 Chester Avenue  Delran, NJ 8075",856-461-4498,31.0,"15,536",Local Police
7657,NJ,Demarest Police Department,"118 Serpentine Road  Demarest, NJ 7627",201-768-1544,15.0,"4,845",Local Police
7659,NJ,Deptford Police Department,"1011 Cooper Street  Deptford, NJ 8096",856-686-2233,70.0,"26,763",Local Police
7660,NJ,Dover Police Department,"37 North Sussex Street  Dover, NJ 7801",973-366-0302,34.0,"18,188",Local Police
7661,NJ,Dumont Police Department,"50 Washington Avenue  Dumont, NJ 7628",201-387-5000,36.0,"17,503",Local Police
7662,NJ,Dunellen Police Department,"355 North Avenue  Dunellen, NJ 8812",732-968-3000,18.0,"6,823",Local Police
7663,NJ,East Brunswick Police Department,"1 Jean Walling Civic Center  East Brunswick, NJ 8816",732-390-6917,92.0,"46,756",Local Police
7665,NJ,East Hanover Township Police Department,"2 Deforest Ave  East Hanover, NJ 7936",973-887-0432,34.0,"11,393",Local Police
7666,NJ,East Newark Police Department,"34 Sherman Avenue  East Newark, NJ 7029",973-481-2900,7.0,"2,377",Local Police
7667,NJ,East Orange Police Department,"61 North Munn Avenue  East Orange, NJ 7017",973-266-5050,283.0,"69,824",Local Police
7668,NJ,East Rutherford Police Department,"312 Grove Street  East Rutherford, NJ 7073",201-438-0165,34.0,"8,716",Local Police
7669,NJ,East Windsor Township Police Department,"80 One Mile Road  East Windsor, NJ 8520",609-448-5678,47.0,"24,919",Local Police
7670,NJ,Eastampton Township Police Department,"725 Smithville Road  Eastampton, NJ 8060",609-261-1717,17.0,"6,202",Local Police
7671,NJ,Eatontown Police Department,"47 Broad Street  Eatontown, NJ 7724",732-542-0100,37.0,"14,008",Local Police
7672,NJ,Edgewater Park Township Police Department,"400 Delanco Road  Edgewater Park, NJ 8010",609-877-4404,14.0,"7,864",Local Police
7673,NJ,Edgewater Police Department,"916 River Road  Edgewater, NJ 7020",201-943-2200,31.0,"7,677",Local Police
7674,NJ,Edison Police Department,"100 Municipal Boulevard  Edison, NJ 8817",732-248-7429,189.0,"97,687",Local Police
7675,NJ,Egg Harbor City Police Department,"500 London Avenue  Egg Harbor City, NJ 8215",609-965-2901,15.0,"4,545",Local Police
7676,NJ,Egg Harbor Township Police Department,"3515 Bargaintown Road  Egg Harbor Township, NJ 8234",609-926-4036,95.0,"30,726",Local Police
7677,NJ,Elizabeth Police Department,"One Police Plaza  Elizabeth, NJ 7201",908-558-2000,348.0,"120,568",Local Police
7678,NJ,Elk Township Police Department,"667 Whig Lane  Monroeville, NJ 8343",856-881-6688,11.0,"3,514",Local Police
7679,NJ,Elmer Borough Police Department,"120 South Main StreetP.O. Box 882 Elmer, NJ 8318",856-358-3355,2.0,"1,384",Local Police
7680,NJ,Elmwood Park Borough Police Department,"182 Market Street  Elmwood Park, NJ 7407",201-796-2095,42.0,"18,925",Local Police
7681,NJ,Emerson Borough Police Department,"1 Municipal Place  Emerson, NJ 7630",201-262-2800,18.0,"7,197",Local Police
7682,NJ,Englewood Cliffs Police Department,"10 Kahn Terrace  Englewood Cliffs, NJ 7632",201-569-8326,26.0,"5,322",Local Police
7684,NJ,Englishtown Borough Police Department,"15 Main Street  Englishtown, NJ 7726",732-446-7000,8.0,"1,764",Local Police
7687,NJ,Essex County Sheriff's Office,"50 Nelson PlNew Courts Bldg, 2nd Fl Newark, NJ 7102",973-621-4149,423.0,"793,633",Sheriff
7688,NJ,Essex Fells Police Department,"255 Roseland Avenue  Essex Fells, NJ 7021",973-226-3000,13.0,"2,162",Local Police
7689,NJ,Evesham Township Police Department,"984 Tuckerton Road  Marlton, NJ 8053",856-983-1116,76.0,"42,275",Local Police
7690,NJ,Ewing Township Police Department,"2 Jake Garzio Drive  Ewing, NJ 8628",609-538-7613,81.0,"35,707",Local Police
7691,NJ,Fair Haven Police Department,"35 Fisk Street  Fair Haven, NJ 7704",732-747-0991,13.0,"5,937",Local Police
7692,NJ,Fair Lawn Police Department,"8-01 Fair Lawn Avenue  Fair Lawn, NJ 7410",201-794-5405,63.0,"31,637",Local Police
7693,NJ,Fairfield Township Police Department,"230 Fairfield Road  Fairfield, NJ 7004",973-276-3504,42.0,"7,063",Local Police
7694,NJ,Fairview Police Department,"59 Anderson Avenue  Fairview, NJ 7022",201-945-0279,34.0,"13,255",Local Police
7695,NJ,Fanwood Police Department,"75 North Martine Avenue  Fanwood, NJ 7023",908-322-5000,21.0,"7,174",Local Police
7696,NJ,Far Hills Police Department,"Box 7226 Prospect Street Far Hills, NJ 7931",908-234-1192,6.0,859,Local Police
7697,NJ,Fieldsboro Police Department,"18 Washington Street  Fieldsboro, NJ 8505",609-298-9054,3.0,522,Local Police
7698,NJ,Flemington Police Department,"100 Main Street  Flemington, NJ 8822",908-782-3434,15.0,"4,200",Local Police
7699,NJ,Florence Township Police Department,"711 Broad Street  Florence, NJ 8518",609-499-3131,25.0,"10,746",Local Police
7700,NJ,Florham Park Police Department,"111 Ridgedale Avenue  Florham Park, NJ 7932",973-377-2200,33.0,"8,857",Local Police
7701,NJ,Fort Lee Police Department,"1327 16Th Street  Fort Lee, NJ 7024",201-592-3781,109.0,"35,461",Local Police
7702,NJ,Franklin Borough Police Department,"15 Corkhill Road  Franklin, NJ 7416",973-827-7040,15.0,"5,160",Local Police
7703,NJ,Franklin Lakes Police Department,"490 Dekorte Drive  Franklin Lakes, NJ 7417",201-891-3131,23.0,"10,422",Local Police
7704,NJ,Franklin Township Police Department,"1571 South Delsea Drive  Franklinville, NJ 8322",856-694-1415,29.0,"15,466",Local Police
7705,NJ,Franklin Township Police Department,"202 Sidney Road  Pittstown, NJ 8867",908-735-6508,6.0,"2,990",Local Police
7706,NJ,Franklin Township Police Department,"495 Demott Lane  Somerset, NJ 8873",732-873-5533,125.0,"50,903",Local Police
7707,NJ,Freehold Borough Police Department,"36 Jackson Street  Freehold, NJ 7728",732-462-1233,35.0,"10,976",Local Police
7708,NJ,Freehold Township Police Department,"1 Municipal Plaza  Freehold, NJ 7728",732-462-7908,70.0,"31,537",Local Police
7709,NJ,Frenchtown Borough Police Department,"27 Second Street  Frenchtown, NJ 8825",908-996-4820,2.0,"1,488",Local Police
7710,NJ,Galloway Police Department,"300 East Jimmie Leeds Road  Galloway, NJ 8205",609-652-3705,73.0,"31,209",Local Police
7711,NJ,Garfield Police Department,"411 Midland Avenue  Garfield, NJ 7026",973-478-8500,65.0,"29,786",Local Police
7712,NJ,Garwood Police Department,"403 South Avenue  Garwood, NJ 7027",908-789-1500,16.0,"4,153",Local Police
7713,NJ,Gibbsboro Borough Police Department,"5 Foster Avenue  Gibbsboro, NJ 8026",856-627-3901,7.0,"2,435",Local Police
7714,NJ,Glassboro Police Department,"1 South Main Street  Glassboro, NJ 8028",856-881-1501,44.0,"19,068",Local Police
7715,NJ,Glen Ridge Police Department,"3 Herman Street  Glen Ridge, NJ 7028",973-748-5400,27.0,"7,271",Local Police
7716,NJ,Glen Rock Police Department,"1 Harding Plaza  Glen Rock, NJ 7452",201-652-3800,21.0,"11,546",Local Police
7717,NJ,Gloucester City Police Department,"313 Monmouth Street  Gloucester City, NJ 8030",856-456-0408,30.0,"11,484",Local Police
7719,NJ,Gloucester County Sheriff's Office,"70 Hunter StPO Box 376 Woodbury, NJ 8096",856-384-4601,90.0,"254,673",Sheriff
7720,NJ,Gloucester Township Police Department,"P.O. Box 8  Blackwood, NJ 8012",856-228-4500,111.0,"64,350",Local Police
7722,NJ,Greenwich Township Police Department,"321 Greenwich Street  Stewartsville, NJ 8886",908-454-1010,11.0,"4,365",Local Police
7723,NJ,Greenwich Township Police Department,"421 West Broad Street  Gibbstown, NJ 8027",856-423-1900,18.0,"4,879",Local Police
7724,NJ,Guttenberg Police Department,"6808 Park Avenue  Guttenberg, NJ 7093",201-868-3300,22.0,"10,807",Local Police
7725,NJ,Hackensack Police Department,"225 State Street  Hackensack, NJ 7601",201-457-2369,117.0,"42,677",Local Police
7726,NJ,Hackettstown Police Department,"215 Stiger Street  Hackettstown, NJ 7840",908-852-3302,18.0,"10,403",Local Police
7727,NJ,Haddon Heights Police Department,"625 Station Avenue  Haddon Heights, NJ 8035",856-547-0614,16.0,"7,547",Local Police
7728,NJ,Haddon Township Police Department,"135 Haddon Avenue  Westmont, NJ 8108",856-854-1176,28.0,"14,651",Local Police
7729,NJ,Haddonfield Police Department,"242 Kings Highway East  Haddonfield, NJ 8033",856-429-3000,22.0,"11,659",Local Police
7730,NJ,Haledon Borough Police Department,"510 Belmont Ave.  Haledon, NJ 7508",973-790-4444,17.0,"8,252",Local Police
7733,NJ,Hamilton Township Police Department,"6101 Thirteenth StreetRoom 220 Mays Landing, NJ 8330",609-625-2211,70.0,"20,499",Local Police
7734,NJ,Hammonton Police Department,"100 Central Avenue  Hammonton, NJ 8037",609-567-4343,34.0,"12,604",Local Police
7735,NJ,Hanover Township Police Department,"1000 Route 10P.O. Box 250 Whippany, NJ 7981",973-428-2512,32.0,"12,898",Local Police
7736,NJ,Harding Township Police Department,"Blue Mill RoadP.O. Box 246 New Vernon, NJ 7976",973-455-0500,14.0,"3,180",Local Police
7737,NJ,Hardyston Township Police Department,"149  Wheatsworth RdSuite B Hamburg, NJ 7419",973-827-2220,19.0,"6,171",Local Police
7738,NJ,Harrington Park Police Department,"49 Laroche Avenue  Harrington Park, NJ 7640",201-768-2100,12.0,"4,740",Local Police
7740,NJ,Harrison Township Police Department,"137 North Main Street  Mullica Hill, NJ 8062",856-478-6839,16.0,"8,788",Local Police
7741,NJ,Harvey Cedars Police Department,"7606 Long Beach Boulevard  Harvey Cedars, NJ 8008",609-494-3036,9.0,359,Local Police
7742,NJ,Hasbrouck Heights Police Department,"248 Hamilton Avenue  Hasbrouck Heights, NJ 7604",201-288-1000,30.0,"11,662",Local Police
7743,NJ,Haworth Police Department,"300 Haworth Avenue  Haworth, NJ 7641",201-384-1854,13.0,"3,390",Local Police
7744,NJ,Hawthorne Police Department,"445 Lafayette Avenue  Hawthorne, NJ 7506",973-427-1800,32.0,"18,218",Local Police
7745,NJ,Hazlet Police Department,"255 Middle Road  Hazlet, NJ 7730",732-264-6565,44.0,"21,378",Local Police
7746,NJ,Helmetta Police Department,"P.O. Box 378  Helmetta, NJ 8828",210-695-3087,5.0,"4,285",Local Police
7748,NJ,High Bridge Police Department,"99 West Main Street  High Bridge, NJ 8829",908-638-6500,7.0,"3,776",Local Police
7750,NJ,Highlands Police Department,"171 Bay Avenue  Highlands, NJ 7732",732-872-1158,14.0,"5,097",Local Police
7754,NJ,Hillside Police Department,"1409 Liberty Avenue  Hillside, NJ 7205",973-926-5800,74.0,"21,747",Local Police
7756,NJ,Hoboken Police Department,"106 Hudson Street  Hoboken, NJ 7030",201-420-2100,156.0,"38,577",Local Police
7757,NJ,Holland Township Police Department,"61 Church Road  Milford, NJ 8848",908-995-4670,6.0,"5,124",Local Police
7758,NJ,Holmdel Police Department,"P.O. Box 4104 Crawfords Corners Road Holmdel, NJ 7733",732-946-4400,43.0,"15,781",Local Police
7759,NJ,Hopatcong Borough Police Department,"111 River Styx Road  Hopatcong, NJ 7843",973-398-5000,28.0,"15,888",Local Police
7760,NJ,Hopewell Township Police Department,"201 Washington Crossing-Pennington  Titusville, NJ 8560",609-737-3100,31.0,"16,105",Local Police
7761,NJ,Howell Township Police Department,"P.O. Box 580  Howell, NJ 7731",732-938-4575,99.0,"48,903",Local Police
7763,NJ,Hudson County Sheriff's Office,"595 Newark Ave  Jersey City, NJ 7306",201-533-2426,221.0,"608,975",Sheriff
7766,NJ,Hunterdon County Sheriff's Office,"71 Main StPO Box 2900 Flemington, NJ 8822",908-788-1166,17.0,"121,989",Sheriff
7769,NJ,Irvington Police Department,"1 Civic Square  Irvington, NJ 7111",973-399-6774,190.0,"60,695",Local Police
7770,NJ,Island Heights Police Department,"P.O. Box 177  Island Heights, NJ 8732",732-270-3006,4.0,"1,751",Local Police
7771,NJ,Jackson Township Police Department,"102 Jackson Drive  Jackson, NJ 8527",732-928-1111,89.0,"42,816",Local Police
7772,NJ,Jamesburg Police Department,"131 Perrineville Road  Jamesburg, NJ 8831",732-521-0011,13.0,"6,025",Local Police
7773,NJ,Jefferson Township Police Department,"1033 Weldon Road  Lake Hopatcong, NJ 7849",973-697-1300,39.0,"19,717",Local Police
7774,NJ,Jersey City Police Department,"8 Erie Street  Jersey City, NJ 7302",201-547-4310,900.0,"240,055",Local Police
7776,NJ,Keansburg Police Department,"179 Carr Avenue  Keansburg, NJ 7734",732-787-0600,37.0,"10,732",Local Police
7777,NJ,Kearny Police Department,"237 Laurel Avenue  Kearny, NJ 7032",201-998-1313,119.0,"40,513",Local Police
7778,NJ,Kenilworth Police Department,"567 Boulevard  Kenilworth, NJ 7033",908-276-1700,30.0,"7,675",Local Police
7779,NJ,Keyport Police Department,"70 West Front Street  Keyport, NJ 7735",732-264-0706,19.0,"7,568",Local Police
7780,NJ,Kinnelon Police Department,"130 Kinnelon Road  Kinnelon, NJ 7405",973-838-5400,16.0,"9,365",Local Police
7781,NJ,Lacey Township Police Department,"808 West Lacey RoadBox 184 Forked River, NJ 8731",609-693-6636,46.0,"25,346",Local Police
7783,NJ,Lakehurst Police Department,"5 Union Avenue  Lakehurst, NJ 8733",732-657-7812,10.0,"2,522",Local Police
7784,NJ,Lakewood Police Department,"231 Third StreetBox 540 Lakewood, NJ 8701",732-363-0200,132.0,"60,352",Local Police
7785,NJ,Lambertville Police Department,"349 North Main Street  Lambertville, NJ 8530",609-397-3132,9.0,"3,868",Local Police
7786,NJ,Laurel Springs Police Department,"723 West Atlantic Avenue  Laurel Springs, NJ 8021",856-783-2887,8.0,"1,970",Local Police
7787,NJ,Lavallette Police Department,"1300 Grand Central Avenue  Lavallette, NJ 8735",732-793-4800,12.0,"2,665",Local Police
7788,NJ,Lawnside Police Department,"4 Douglas Avenue  Lawnside, NJ 8045",856-573-6205,8.0,"2,692",Local Police
7789,NJ,Lawrence Township Police Department,"2211 Lawrence Road  Lawrenceville, NJ 8648",609-896-1111,68.0,"29,159",Local Police
7790,NJ,Lebanon Township Police Department,"530 West Hill Road  Glen Gardner, NJ 8826",908-638-8516,9.0,"5,816",Local Police
7791,NJ,Leonia Police Department,"Public Safety Complex1 Wood Park Leonia, NJ 7605",201-944-0800,20.0,"8,914",Local Police
7792,NJ,Lincoln Park Police Department,"34 Chapel Hill Road  Lincoln Park, NJ 7035",973-694-5533,24.0,"10,930",Local Police
7793,NJ,Linden Police Department,"301 North Wood Avenue  Linden, NJ 7036",908-474-8510,133.0,"39,394",Local Police
7794,NJ,Lindenwold Police Department,"2001 Egg Harbor Road  Lindenwold, NJ 8021",856-784-7566,42.0,"17,414",Local Police
7795,NJ,Linwood Police Department,"400 Poplar Avenue  Linwood, NJ 8221",609-926-7977,20.0,"7,172",Local Police
7796,NJ,Little Egg Harbor Township Police Department,"665 Radio Road  Little Egg Harbor, NJ 8087",609-296-3666,47.0,"15,945",Local Police
7797,NJ,Little Falls Police Department,"35 Stevens Avenue  Little Falls, NJ 7424",973-256-0200,22.0,"10,855",Local Police
7798,NJ,Little Ferry Borough Police Department,"215 Liberty St.  Little Ferry, NJ 7643",201-641-2770,28.0,"10,800",Local Police
7799,NJ,Little Silver Police Department,"480 Prospect Avenue  Little Silver, NJ 7739",732-747-5900,16.0,"6,170",Local Police
7800,NJ,Livingston Police Department,"333 So. Livingston Avenue  Livingston, NJ 7039",973-992-3000,74.0,"27,391",Local Police
7801,NJ,Lodi Police Department,"1 Memorial Drive  Lodi, NJ 7644",973-473-7600,43.0,"23,971",Local Police
7802,NJ,Logan Township Police Department,"125 Main Street  Bridgeport, NJ 8014",856-467-0061,20.0,"6,032",Local Police
7803,NJ,Long Beach Township Police Department,"6805 Long Beach Boulevard  Long Beach Township, NJ 8008",609-494-6900,38.0,"3,329",Local Police
7804,NJ,Long Branch Police Department,"344 Broadway  Long Branch, NJ 7740",732-571-5668,97.0,"31,340",Local Police
7806,NJ,Longport Police Department,"2305 Atlantic Avenue  Longport, NJ 8403",609-822-2141,14.0,"1,054",Local Police
7807,NJ,Lopatcong Township Police,"232 South Third Street  Phillipsburg, NJ 8865",908-859-1212,14.0,"5,765",Local Police
7808,NJ,Lower Alloways Creek Police Department,"501 Locust Island Road  Hancocks Bridge, NJ 8038",856-935-7300,13.0,"1,851",Local Police
7809,NJ,Lower Township Police Department,"405 Breakwater Road  Erma, NJ 8204",609-886-1619,46.0,"22,945",Local Police
7810,NJ,Lumberton Township Police Department,"35 Municipal Drive  Lumberton, NJ 8048",609-267-1111,24.0,"10,461",Local Police
7814,NJ,Mahwah Township Police Department,"221 Franklin Turnpike  Mahwah, NJ 7430",201-529-1000,55.0,"24,062",Local Police
7815,NJ,Manalapan Township Police Department,"120 Route 522  Manalapan, NJ 7726",732-446-4300,66.0,"33,423",Local Police
7816,NJ,Manasquan Police Department,"201 East Main Street  Manasquan, NJ 8736",732-223-1000,18.0,"6,310",Local Police
7818,NJ,Mansfield Township Police Department,"100 Port Murray Road  Port Murray, NJ 7865",609-298-4411,15.0,"5,090",Local Police
7819,NJ,Mansfield Township Police Department,"190A Atlantic AvenueP.O. Box 177 Columbus, NJ 8022",609-298-4411,14.0,"5,090",Local Police
7821,NJ,Mantua Township Police Department,"405 Main Street  Mantua, NJ 8051",856-468-1920,27.0,"14,217",Local Police
7823,NJ,Maple Shade Township Police Department,"200 Stiles Avenue  Maple Shade, NJ 8052",856-779-7111,34.0,"19,079",Local Police
7824,NJ,Maplewood Police Department,"125 Dunnell Road  Maplewood, NJ 7040",973-761-3400,64.0,"23,868",Local Police
7825,NJ,Margate City Police Department,"111 North Decatur Avenue  Margate City, NJ 8402",609-822-1151,32.0,"8,193",Local Police
7826,NJ,Marlboro Township Police Department,"1979 Township Drive  Marlboro, NJ 7746",732-536-0100,71.0,"36,398",Local Police
7828,NJ,Maywood Police Department,"15 Park Avenue  Maywood, NJ 7607",201-845-8800,24.0,"9,523",Local Police
7829,NJ,Medford Lakes Borough Police Department,"1 Cabin Circle  Medford Lakes, NJ 8055",609-654-2156,8.0,"4,173",Local Police
7830,NJ,Medford Township Police Department,"91 Union Street  Medford, NJ 8055",609-654-7511,47.0,"22,253",Local Police
7831,NJ,Mendham Borough Police Department,"3 Cold Hill Road South  Mendham, NJ 7945",973-543-2527,12.0,"5,097",Local Police
7832,NJ,Mendham Township Police Department,"P.O. Box 236  Brookside, NJ 7926",973-543-2581,15.0,"5,400",Local Police
7834,NJ,Mercer County Sheriff's Office,"175 S Broad StPO Box 8068 Trenton, NJ 8608",609-278-8040,139.0,"350,761",Sheriff
7836,NJ,Metuchen Police Department,"500 Main Street  Metuchen, NJ 8840",732-632-8500,28.0,"12,840",Local Police
7837,NJ,Middle Township Police Department,"31 West Mechanic Street  Cape May Court House, NJ 8210",609-465-8700,52.0,"16,405",Local Police
7838,NJ,Middlesex Borough Police Department,"1101 Mountain Avenue  Middlesex, NJ 8846",732-356-1900,31.0,"13,717",Local Police
7841,NJ,Middlesex County Sheriff's Department,"P. O. Box 1188701 Livingston Avenue New Brunswick, NJ 8903",732-745-3246,170.0,"750,162",Sheriff
7842,NJ,Middletown Township Police Department,"1 Kings Highway  Middletown, NJ 7748",732-615-2054,103.0,"66,327",Local Police
7844,NJ,Millburn Police Department,"435 Essex Street  Millburn, NJ 7041",973-564-7021,54.0,"19,765",Local Police
7845,NJ,Milltown Police Department,"39 Washington Avenue  Milltown, NJ 8850",732-828-1100,16.0,"7,000",Local Police
7846,NJ,Millville Police Department,"18 South High StreetP.O. Box 609 Millville, NJ 8332",856-825-3111,79.0,"26,847",Local Police
7849,NJ,Monmouth County Sheriff's Office,"50 E Main St  Freehold, NJ 7728",732-294-5901,494.0,"615,301",Sheriff
7850,NJ,Monroe Township Police Department,"125 Virginia Avenue  Williamstown, NJ 8094",856-728-0800,66.0,"28,967",Local Police
7851,NJ,Monroe Township Police Department,"3 Municipal Plaza  Monroe Township, NJ 8831",732-521-0222,49.0,"27,999",Local Police
7854,NJ,Montgomery Township Police Department,"2261 US Highway 206  Belle Mead, NJ 8502",908-359-3222,29.0,"17,481",Local Police
7855,NJ,Montvale Police Department,"12 Mercedes Dr.  Montvale, NJ 7645",201-391-7600,20.0,"7,034",Local Police
7856,NJ,Montville Township Police Department,"360 Route 202Suite 1 Montville, NJ 7045",973-334-2730,41.0,"20,839",Local Police
7857,NJ,Moonachie Police Department,"70 Moonachie Road  Moonachie, NJ 7074",201-641-9100,17.0,"2,754",Local Police
7858,NJ,Moorestown Township Police Department,"111 West Second Street  Moorestown, NJ 8057",856-235-0130,38.0,"19,017",Local Police
7861,NJ,Morris County Sheriff's Office,"Courthouse, Washington StPO Box 900 Morristown, NJ 7963",973-285-6600,262.0,"470,212",Sheriff
7863,NJ,Morris Township Police Department,"49 Woodland Avenue  Morristown, NJ 7960",973-326-7470,44.0,"21,796",Local Police
7864,NJ,Morristown Police Department,"200 South StreetCN 914 Morristown, NJ 7960",973-292-6655,58.0,"18,544",Local Police
7867,NJ,Mount Holly Township Police,"23 Washington Street  Mount Holly, NJ 8060",609-267-0170,23.0,"10,728",Local Police
7870,NJ,Mountain Lakes Police Department,"400 Boulevard  Mountain Lakes, NJ 7046",973-334-1413,14.0,"4,256",Local Police
7871,NJ,Mountainside Police Department,"1385 Route 22 East  Mountainside, NJ 7092",908-232-8100,22.0,"6,602",Local Police
7872,NJ,Mullica Township Police Department,"4528 White Horse PikeBox 317 Elwood, NJ 8217",609-561-7600,14.0,"5,912",Local Police
7873,NJ,Neptune City Police Department,"106 W. Sylvania Ave.  Neptune City, NJ 7753",732-775-1615,16.0,"5,218",Local Police
7874,NJ,Neptune Township Police Department,"25 Neptune Boulevard  Neptune, NJ 7753",732-988-8000,74.0,"27,690",Local Police
7876,NJ,New Brunswick Police Department,"25 Kirkpatric Street  New Brunswick, NJ 8901",732-745-5200,138.0,"48,573",Local Police
7877,NJ,New Hanover Township Police Department,"2 Hockamick Road  Cookstown, NJ 8511",609-758-7149,3.0,"9,744",Local Police
7886,NJ,New Jersey State Police,"P.O. Box 7068; River Road  West Trenton, NJ 8628",609-882-2000,3053.0,"8,414,350",State
7888,NJ,New Milford Police Department,"930 River Road  New Milford, NJ 7646",201-261-1400,31.0,"16,400",Local Police
7889,NJ,New Providence Police Department,"360 Elkwood Avenue  New Providence, NJ 7974",908-665-1111,26.0,"11,907",Local Police
7890,NJ,Newark Police Department,"31 Green Street  Newark, NJ 7102",973-733-7921,1310.0,"273,546",Local Police
7892,NJ,Newton Police Department,"39 Trinity Street  Newton, NJ 7860",973-383-2525,25.0,"8,244",Local Police
7893,NJ,North Arlington Police Department,"214 Ridge Road  North Arlington, NJ 7031",201-991-4400,31.0,"15,181",Local Police
7898,NJ,North Hanover Township Police Department,"41 Schoolhouse Road  Wrightstown, NJ 8562",609-758-3351,10.0,"7,347",Local Police
7899,NJ,North Plainfield Police Department,"263 Somerset Street  North Plainfield, NJ 7060",908-756-7700,48.0,"21,103",Local Police
7900,NJ,North Wildwood Police Department,"305 East 10Th Avenue  North Wildwood, NJ 8260",609-522-2030,29.0,"4,935",Local Police
7901,NJ,Northfield Police Department,"1600 Shore Road  Northfield, NJ 8225",609-641-2832,24.0,"7,725",Local Police
7902,NJ,Northvale Police Department,"116 Paris Avenue  Northvale, NJ 7647",201-768-5900,15.0,"4,460",Local Police
7903,NJ,Norwood Police Department,"453 Broadway  Norwood, NJ 7648",201-768-0850,14.0,"5,751",Local Police
7905,NJ,Oakland Borough Police Department,"295 RamaP.O. Valley Road  Oakland, NJ 7436",201-337-6171,26.0,"12,466",Local Police
7906,NJ,Oaklyn Police Department,"500 White Horse Pike  Oaklyn, NJ 8107",856-858-8776,12.0,"4,188",Local Police
7907,NJ,Ocean City Police Department,"835 Central Avenue  Ocean City, NJ 8226",609-399-9111,59.0,"15,378",Local Police
7909,NJ,Ocean County Sheriff's Office,"P.O. Box 2191120 Hooper Ave Toms River, NJ 8754",732-929-2044,140.0,"510,916",Sheriff
7910,NJ,Ocean Gate Borough Police Department,"801 Ocean Gate Avenue  Ocean Gate, NJ 8740",732-269-6931,6.0,"2,076",Local Police
7911,NJ,Ocean Township Police Department,"399 Monmouth Road  Oakhurst, NJ 7755",732-531-1800,63.0,"26,959",Local Police
7912,NJ,Ocean Township Police Department,"50 Railroad Avenue  Waretown, NJ 8758",609-693-4007,19.0,"6,450",Local Police
7913,NJ,Oceanport Police Department,"P.O. Box 370  Oceanport, NJ 7757",732-222-6300,15.0,"5,807",Local Police
7914,NJ,Ogdensburg Police Department,"P.O. Box 45  Ogdensburg, NJ 7439",973-827-3160,6.0,"2,638",Local Police
7915,NJ,Old Bridge Township Police Department,"One Old Bridge Plaza, Suite 1  Old Bridge, NJ 8857",732-607-7934,105.0,"60,456",Local Police
7916,NJ,Old Tappan Police Department,"247 Old Tappan Road  Old Tappan, NJ 7675",201-664-1221,13.0,"5,482",Local Police
7917,NJ,Oradell Police Department,"355 Kinderkamack Road  Oradell, NJ 7649",201-261-0200,21.0,"8,047",Local Police
7918,NJ,Orange Police Department,"29 Park Street  Orange, NJ 7050",973-266-4118,110.0,"32,868",Local Police
7919,NJ,Oxford Township Police Department,"11 Green St  Oxford, NJ 7863",908-453-4133,4.0,"2,307",Local Police
7921,NJ,Palisades Park Police Department,"275 Broad Avenue  Palisades Park, NJ 7650",201-944-0900,31.0,"17,073",Local Police
7922,NJ,Palmyra Borough Police Department,"20 West Broad Street  Palmyra, NJ 8065",856-829-0198,16.0,"7,091",Local Police
7923,NJ,Paramus Police Department,"Carlough Drive  Paramus, NJ 7652",201-262-3400,93.0,"25,737",Local Police
7924,NJ,Park Ridge Police Department,"33 Park Avenue  Park Ridge, NJ 7656",201-391-5400,18.0,"8,708",Local Police
7927,NJ,Passaic County Sheriff's Office,"435 Hamburg Tpke  Wayne, NJ 7470",973-881-4619,530.0,"489,049",Sheriff
7928,NJ,Passaic Police Department,"330 Passaic Street  Passaic, NJ 7055",973-365-3958,193.0,"67,861",Local Police
7929,NJ,Paterson Police Department,"111 Broadway  Paterson, NJ 7505",973-278-1780,497.0,"149,222",Local Police
7930,NJ,Paulsboro Police Department,"1211 North Delaware Street  Paulsboro, NJ 8066",856-423-1100,19.0,"6,160",Local Police
7934,NJ,Pennington Police Department,"30 North Main Street  Pennington, NJ 8534",609-737-2020,6.0,"2,696",Local Police
7935,NJ,Penns Grove Police Department,"1 State Street  Penns Grove, NJ 8069",856-299-0055,16.0,"4,886",Local Police
7936,NJ,Pennsauken Police Department,"2400 Bethel Avenue  Pennsauken, NJ 8109",856-488-0080,90.0,"35,737",Local Police
7939,NJ,Perth Amboy Police Department,"365 NEW BRUNSWICK AVE  Perth Amboy, NJ 8861",732-324-3810,108.0,"47,303",Local Police
